Durationinseconds,ResponseId,Age,Gender,HL,Race,Race_5_TEXT,Education,Income,BER_P,BER_N,StressorDesc,PSE_P,PSE_N,A1,A2,A3,A4,A5,A6,A1_P,A1_N,A2_P,A2_N,A3_P,A3_N,A4_P,A4_N,A5_P,A5_N,A6_P,A6_N,PRE_P,PRE_N,DES_1NPS,DES_2NPS,DES_3NPS,DES_4CPN,DES_5PNS,DES_6CPN,DES_7CPN,DES_8PNS,DES_9PNS,DES_10CPN,DES_11PNS,ValuingHS_1,ValuingHS_2,ValuingHS_3,ValuingHS_4,ValuingHS_5,ValuingHS_6,ValuingHS_7,EgoRS_1,EgoRS_2,EgoRS_3,EgoRS_4,EgoRS_5,EgoRS_6,EgoRS_7,EgoRS_8,EgoRS_9,EgoRS_10,EgoRS_11,EgoRS_12,EgoRS_13,EgoRS_14,OPTIMISM_1,OPTIMISM_2,OPTIMISM_3,OPTIMISM_4,OPTIMISM_5,OPTIMISM_6,OPTIMISM_7,OPTIMISM_8,OPTIMISM_9,OPTIMISM_10,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_7,PS_8,PR_1,PR_2,EXTRAVERSION_1,EXTRAVERSION_2,EXTRAVERSION_3,EXTRAVERSION_4,EXTRAVERSION_5,EXTRAVERSION_6,EXTRAVERSION_7,EXTRAVERSION_8,EXTRAVERSION_9,EXTRAVERSION_10,EXTRAVERSION_11,EXTRAVERSION_12,TMES_1ME,TMES_2ME,TMES_3ME,TMES_4ME,TMES_5ME,TMES_6ME,TMES_7ME,TMES_8ME,TMES_9ME,TMES_10ME,TMES_11ME,TMES_12ME,TMES_13ME,TMES_14P,TMES_15P,TMES_16P,TMES_17P,TMES_18P,TMES_19N,TMES_20N,TMES_21N,TMES_22N,TMES_23N,TMES_24NEUT,TMES_25NEUT,PROLIFIC_PID,A1Positive,A2Positive,A3Positive,A4Positive,A5Positive,A6Positive,A1Negative,A2Negative,A3Negative,A4Negative,A5Negative,A6negative,A1_M,A2_M,A3_M,A4_M,A5_M,A6_M,Optimism,Extraversion,TotalP,TotalN,TotalM,Resilience,Positivity,DES_NPS,DES_CPN,DES_PNS,TMES_ME,TMES_P,TMES_N,TMES_NEUT,ValuingHappiness,PositiveReappraisal
609,R_1eLbo7raslOd1RZ,21,2,2,1, ,1,9,8,3,I feel as though COVID is clearing up. I feel way more optimistic than a few months ago.,8,2,I’m excited to not wear masks on public transportation anymore.,I am hopeful everything will be back to normal by the end of the year.,I am happy to see how far we’ve come from March 2020.,I can’t believe it’s already been two years of the pandemic.,I think the future looks bright.,I believe that the vaccine works.,10,1,9,1,10,2,9,4,10,0,10,0,8,2,7,1,7,7,6,7,7,7,6,7,6,3,2,2,7,5,7,3,3,2,3,4,4,3,4,4,3,3,4,3,4,4,3,3,2,5,4,4,2,3,2,5,7,6,5,1,7,7,7,7,4,4,3,3,5,4,3,4,2,4,3,2,2,5,3,2,3,3,3,3,3,4,5,4,4,4,4,4,3,2,2,2,2,4,2,2,2,3,2,611144a6dfa6abdcb83c3013,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,40,6,0,0,48,47,15,28,25,45,13,12,5,29,8
407,R_1Qt2mAwfRwx7u1a,23,2,2,1, ,2,4,5,5,"A covid related situation I am currently experiencing is hearing about friends and family getting reinfected with covid. Some are vaccinated and some are not. I am vaccinated and haven't gotten covid since, so I hope I don't get sick again because it wasn't nice the first time.",5,5,I am trying to stay updated,I am checking in on people,I'm taking steps to protect myself,I am educating myself,I am mildly concerned,I'm thinking about the future,5,5,6,0,6,0,5,5,0,6,3,6,5,5,6,6,6,6,6,6,6,6,6,6,6,3,2,4,5,5,5,5,3,2,2,1,2,1,2,3,2,3,2,2,1,2,2,2,0,2,4,4,0,2,0,2,2,2,2,2,2,2,2,2,1,1,1,1,5,2,1,4,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,3,3,2,5fb327660f80c1a4d39fada2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,26,2,2,0,28,16,18,24,24,38,13,14,5,29,2
1228,R_XzFnMPQufT2Xlkt, ,2,2,2, ,1,7,6,8,My whole family contracted covid during the Christmas holiday which was also the same day as my birthday so I didnt get to spend time with them. Just spent time by myself which was really weird because we are a close knit family,5,3,My family got time to rest and feel better,I was alone,I  got to take care of my family,my Christmas was boring,The house was not decorated,They were grateful for my help,10,3,3,10,10,0,0,10,10,10,10,2,6,3,7,7,7,7,7,7,7,7,7,7,7,6,6,2,7,7,5,7,4,4,1,4,1,2,1,2,3,4,2,1,3,4,2,1,1,2,5,3,1,2,1,3,5,7,3,1,1,4,3,2,3,4,4,4,4,1,4,3,2,4,3,4,1,3,1,3,5,5,5,3,4,3,4,3,5,4,3,2,1,3,2,1,4,5,5,4,5,4,3,610b155bf942802c321e0a3b,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,10,37,3,2,1,36,26,21,28,28,48,9,23,7,40,7
674,R_A4HAwW1O1JJ0Phn,29,2,2,1, ,2,5,7,2,"My sister and her family recently got covid right before she was scheduled to come and visit me from another state. She had to cancel her plane ticket and concert tickets, and she, her husband, and her baby were all sick over her birthday.",7,2,My fear that my sister would bring COVID from the plane ride.,My sister had to cancel her trip.,I was not able to go to the concert we planned to see.,I was worried about my nephew when I learned he had COVID.,My sister spent her birthday sick.,I did not get to visit with my sister.,3,10,0,10,2,5,0,10,0,10,0,8,7,3,7,7,7,7,7,7,7,7,7,7,7,1,1,3,5,6,2,2,4,3,2,2,4,2,3,3,3,4,3,2,2,3,1,2,0,2,5,3,0,2,0,3,3,6,4,2,5,3,5,5,2,2,3,2,4,4,3,2,1,4,3,4,2,3,3,4,4,4,3,5,3,2,4,3,5,5,4,4,3,4,3,4,3,3,4,2,3,4,2,60f85fe15ca1372316410069,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,6,35,0,5,0,40,33,21,28,28,49,18,15,6,20,4
611,R_9SkJbtTE28dOoSZ,33,2,2,1, ,1,1,6,1,"I went to a big concert in July of 2021. It was my first big outing with a lot of people since Covid started. Even though I was fully vaccinated, I was still apprehensive about being around so many people, especially since there weren't many covid precautions being taken.",8,1,I was excited to see some bands.,I was excited to be a part of the concert culture again.,I was nervous about being around so many people during covid.,I was excited to get to people watch.,I had to be mindful of how much money I was spending.,I did not enjoy having to drive back.,10,0,10,0,1,7,10,0,2,5,0,4,9,1,7,7,7,7,7,7,7,7,7,7,7,4,1,1,4,7,2,5,4,4,4,3,3,2,4,4,3,3,4,4,2,3,5,4,2,4,5,1,1,4,2,5,5,6,7,2,6,6,7,7,4,4,4,4,5,2,4,2,2,4,4,4,2,5,4,3,3,3,3,3,2,3,3,3,4,4,3,4,4,4,4,4,3,2,3,2,2,3,3,607e132f33b82531995d5ad1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,42,3,1,0,47,46,21,28,28,41,20,12,6,24,8
596,R_1nVG1yS8GnQntAS,20,1,2,1, ,1,7,5,2,"Our state is winding down COVID-19 restrictions and mandates. Because of this, there are no longer masks requirements at most places like stores, restaurants, and my college campus.",5,2,It feels nice to not have to wear a mask.,The end of restrictions makes me more hopeful for the future.,I am a bit worried about COVID still and concerned there might be more cases without the precautions.,I like being able to see people's faces while in classes.,It makes me feel a bit selfish when I see people still wearing masks while I am not.,I am not sure whether or not to wear a mask to an upcoming concert.,6,0,6,0,0,5,7,0,0,5,3,4,5,3,6,6,6,6,6,6,6,6,6,6,6,4,3,3,5,5,5,3,3,1,1,1,2,1,1,3,3,4,1,1,1,2,2,1,1,2,4,2,1,2,1,4,3,6,5,1,5,3,5,5,2,2,2,1,4,2,2,2,2,3,2,4,2,3,3,3,4,4,4,4,4,3,4,5,4,4,4,3,2,3,3,2,3,3,5,2,3,4,3,5f1b6a9ec094bd360e71cee1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,3,0,0,25,33,18,24,24,50,13,16,7,28,4
353,R_3DiFqwLw5xQC1Yg,26,2,2,1, ,1,6,10,0, ,10,0,
I worry about getting sick,I like to wear a mask,I don’t want people judging,I feel excited that Cove it is getting better,I feel uncomfortable when people are coughing,I feel freedom, ,2,10, , ,1,10, , ,10,10, ,10,1,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,7,1,7,1,4,3,1,3,4,4,4,2,4,4,4,1,4,4,4,3,4,1,5,3,3,3,5,2,2,6,3,6,6,6,6,2,2,1,1,5,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,5,5,5,1,1,1,1,2,5,1,56b2f64c9b4875000b2099f2, ,1, ,1, ,1,0, ,0, ,1, , , , , , , ,22,24, , , ,43,37,21,28,28,14,25,6,6,25,4
305,R_2SxntyHq1hVEmEX,22,1,2,1, ,1,1,2,5,"My mom had covid not too long ago and she says how I've been physically feeling lately is a lot like how it started for her, so now I'm wondering if I should get tested because I work with the public.",1,6,I feel miserable,I can't sleep,I have work every night.,I'm a delivery driver so I could potentially be spreading it everywhere,I'm too tired to work anyway.,I don't have the money for a test.,0,6,0,6,0,6,0,10,0,6,0,6,0,6,7,7,7,7,7,7,7,7,7,7,7,1,4,1,7,4,4,3,3,1,1,1,1,2,1,4,2,4,1,1,4,3,1,1,5,1,1,3,5,1,5,1,1,1,1,1,4,3,2,4,1,1,1,1,2,1,1,3,1,1,2,1,3,2,2,1,2,1,1,3,2,3,3,1,3,4,2,2,2,2,2,2,3,5,5,4,3,5,4,5f42eec40c24ac531d4ca24a,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,18,19,0,6,0,29,17,21,28,28,28,10,20,9,24,2
385,R_1CI2MKx5p3La0lW,20,1,2,1, ,1,9,7,2,"I currently have a cold. Because of Covid, my level of anxiety was significantly higher than usual in relation to my being sick. I took several covid tests, all of them negative, but I still have a lingering anxiety about if they might have been wrong.",6,3,I'm grateful to have access to tests.,I have a high level of anxiety.,I don't feel physically well.,I'm happy to have tested negative.,I am more tired than usual.,I am frustrated that we still have to worry about this.,7,1,0,9,0,7,9,0,3,7,0,7,7,3,6,6,6,6,5,5,6,6,5,6,5,2,3,2,6,6,6,5,4,3,4,4,3,4,2,3,3,3,4,2,4,3,2,2,1,3,5,4,1,2,2,4,3,6,5,2,5,5,5,5,3,4,5,4,5,4,4,4,5,4,4,5,4,4,5,2,3,3,4,4,3,4,4,5,3,4,4,4,3,4,5,3,2,4,4,2,3,2,4,6100b911e1a470c44f54eb15,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,13,52,2,4,0,46,36,18,23,21,48,19,15,6,30,7
